Afrikaans	af	3
Amharic	am	2
Arabic	ar	5
Assamese	as	
Azerbaijani	az	1
Bemba 	bem	0
Bulgarian	bg	3
Bengali	bn	3
Czech	cs	
Welsh	cy	1
Danish	da	
German	de	5
Greek	el	3
English	en	5
Spanish	es	5
Estonian	et	3
Basque	eu	4
Persian	fa	4
Finnish	fi	5
Fon 	fon	0
French	fr	5
Scottish_gaelic	gd	1
Gujarati	gu	1
Hausa	ha	2
Hebrew	he	3
Hindi	hi	4
Haitian Creole	ht	0
Hungarian	hu	4
Indonesian	id	3
Igbo	ig	1
Italian	it	4
Japanese	ja	5
Javanese	jv	1
Georgian	ka	3
Kashmiri	ka	
Kinyarwanda 	kin	0
Kazakh	kk	3
Kannada	kn	1
Korean	ko	4
Kyrgyz	ky	1
Lithuanian	lt	3
Malayalam	ml	1
Marathi	mr	2
Malay	ms	3
Burmese	my	1
Dutch	nl	4
Norwegian	no	
Nepali	np/ne	1
Oromo	om	1
Oriya	or	1
Punjabi	pa	2
Pidgin	pidgin	0
Polish	pl	4
Pashto	ps	1
Portuguese	pt	4
Quechua	qu	1
Kirundi	rn	1
Romanian	ro	3
Russian	ru	4
Sinhala	si	0
Somali	so	1
Serbian_Cyrillic	sr	4
Serbian_Latin	sr	4
Swedish	sv	
Swahili	sw	2
Tamil	ta	3
Telugu	te	1
Thai	th	3
Tigrinya	ti	2
Tagalog	tl	3              
Turkish	tr	4
Twi 	twi	0
Ukrainian	uk	3
Urdu	ur	3
Uzbek	uz	3
Vietnamese	vi	4
Wolof	wo	2
Yoruba	yo	2
Chinese	zh	5
Chinese_Simplified	zh	5
Chinese_Traditional	zh-Hant	5
Zulu	zul	0
English-Hindi	en-hi	6
English-Spanish	en-es	6